num_rooms,num_people,housearea,is_ac,is_tv,is_flat,ave_monthly_income,num_children,is_urban,amount_paid
3.0,3.0,742.57,1,1,1,9675.93,2,0,560.4814469
1.0,5.0,952.99,0,1,0,35064.79,1,1,633.2836786
3.0,1.0,761.44,1,1,1,22292.44,0,0,511.8791568
0.0,5.0,861.32,1,1,0,12139.08,0,0,332.9920353
1.0,8.0,731.61,0,1,0,17230.1,2,1,658.285625
0.0,5.0,837.24,0,1,1,24661.81,2,1,793.2423456
4.0,5.0,679.04,0,1,0,28184.43,1,1,570.3828451
3.0,4.0,1044.65,0,0,1,16912.69,2,1,585.4051997
2.0,4.0,713.9,1,0,0,26058.28,0,1,653.2008685
1.0,6.0,734.43,0,0,0,22545.5,2,1,606.015138
2.0,6.0,742.69,0,1,0,15670.76,0,0,222.7345416
1.0,6.0,924.04,1,1,0,22527.33,0,1,606.1839763
0.0,3.0,776.62,0,1,0,32341.3,0,1,528.2784474
2.0,4.0,990.59,0,1,1,13084.35,0,1,622.3819174
2.0,7.0,870.61,0,1,0,31430.75,1,1,756.6516959
1.0,5.0,747.02,0,1,0,28595.98,0,1,471.1284367
3.0,5.0,699.01,0,0,1,44997.0,3,0,458.8428794
2.0,8.0,932.84,1,1,0,30009.93,1,1,818.1268647
4.0,4.0,573.69,0,1,0,32902.39,1,0,355.4343346
3.0,1.0,901.33,0,1,1,27090.16,2,1,707.9660271
1.0,6.0,902.07,1,1,0,11306.32,1,0,583.5433244
3.0,4.0,686.59,0,1,1,36352.99,1,1,579.6585178
1.0,4.0,860.28,0,0,0,7792.07,0,1,529.6833919
1.0,7.0,859.83,0,1,1,42003.43,1,1,763.9111317
2.0,6.0,773.65,0,1,0,30764.16,2,1,695.0368687
2.0,7.0,808.93,0,1,1,26083.57,1,1,605.607782
3.0,2.0,890.69,1,1,1,17349.88,4,1,994.6565775
1.0,1.0,765.32,0,1,1,8315.34,0,1,535.7010785
1.0,2.0,657.97,1,1,0,28148.91,1,1,711.3453733
2.0,7.0,816.77,0,1,1,16817.74,1,1,703.4094805
3.0,5.0,988.62,0,1,0,30021.55,3,1,731.2151799
1.0,4.0,733.55,0,1,1,14935.76,2,1,746.0997602
